Año,Mes,Mes_Num,Semana,Día,Fecha,Cliente,Localidad,Lat,Lon,Horas_Trabajo_Cliente,Cluster,Tiempo_Desplazamiento_Dia_min,Detalle_Desplazamientos_min,Horas_Trabajo_Total_Dia,Jornada_Total_Horas,Secuencia_Ruta_Dia
2025,January,1,3,Lunes,13/01/2025,11,Alsasua,42.892317105968665,-2.160411690717142,2.0,3,131.8,"Empresa (Ollauri, La Rioja) -> Araia: 56.6 min | Araia -> Alsasua: 15.4 min | Alsasua -> Empresa (Ollauri, La Rioja): 59.8 min",4.0,6.196666666666667,"Empresa (Ollauri, La Rioja) ➔ Araia ➔ Alsasua ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,3,Lunes,13/01/2025,48,Araia,42.88686325403397,-2.313917076959883,2.0,3,131.8,"Empresa (Ollauri, La Rioja) -> Araia: 56.6 min | Araia -> Alsasua: 15.4 min | Alsasua -> Empresa (Ollauri, La Rioja): 59.8 min",4.0,6.196666666666667,"Empresa (Ollauri, La Rioja) ➔ Araia ➔ Alsasua ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Lunes,03/02/2025,39,Haro,42.57902249595814,-2.8458665254033586,3.0,0,54.300000000000004,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Sto. Domingo: 23.3 min | Sto. Domingo -> Empresa (Ollauri, La Rioja): 23.1 min",7.0,7.905,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ Haro ➔ Haro ➔ Haro ➔ Sto. Domingo ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Lunes,03/02/2025,17,Haro,42.57493609276223,-2.859989894465662,2.0,0,54.300000000000004,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Sto. Domingo: 23.3 min | Sto. Domingo -> Empresa (Ollauri, La Rioja): 23.1 min",7.0,7.905,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ Haro ➔ Haro ➔ Haro ➔ Sto. Domingo ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Lunes,03/02/2025,3,Sto. Domingo,42.43311981728221,-2.950749636445161,1.0,0,54.300000000000004,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Sto. Domingo: 23.3 min | Sto. Domingo -> Empresa (Ollauri, La Rioja): 23.1 min",7.0,7.905,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ Haro ➔ Haro ➔ Haro ➔ Sto. Domingo ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Lunes,03/02/2025,1,Haro,42.5681060494229,-2.858152511919005,0.5,0,54.300000000000004,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Sto. Domingo: 23.3 min | Sto. Domingo -> Empresa (Ollauri, La Rioja): 23.1 min",7.0,7.905,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ Haro ➔ Haro ➔ Haro ➔ Sto. Domingo ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Lunes,03/02/2025,5,Haro,42.56905422294487,-2.858238342601868,0.5,0,54.300000000000004,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Haro: 0.0 min | Haro -> Sto. Domingo: 23.3 min | Sto. Domingo -> Empresa (Ollauri, La Rioja): 23.1 min",7.0,7.905,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ Haro ➔ Haro ➔ Haro ➔ Sto. Domingo ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Martes,04/02/2025,18,Nanclares,42.815165330083616,-2.8168162684239704,1.0,0,151.89999999999998,"Empresa (Ollauri, La Rioja) -> Cenicero: 18.7 min | Cenicero -> Miranda: 42.1 min | Miranda -> Nanclares: 24.7 min | Nanclares -> Salinas: 22.6 min | Salinas -> Empresa (Ollauri, La Rioja): 43.8 min",5.0,7.531666666666666,"Empresa (Ollauri, La Rioja) ➔ Cenicero ➔ Miranda ➔ Nanclares ➔ Salinas ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Martes,04/02/2025,19,Salinas,42.80254330447877,-2.9882562588873665,1.0,0,151.89999999999998,"Empresa (Ollauri, La Rioja) -> Cenicero: 18.7 min | Cenicero -> Miranda: 42.1 min | Miranda -> Nanclares: 24.7 min | Nanclares -> Salinas: 22.6 min | Salinas -> Empresa (Ollauri, La Rioja): 43.8 min",5.0,7.531666666666666,"Empresa (Ollauri, La Rioja) ➔ Cenicero ➔ Miranda ➔ Nanclares ➔ Salinas ➔ Empresa (Ollauri, La Rioja)"
2025,February,2,6,Martes,04/02/2025,41,Miranda,42.69398677237486,-2.943052771196253,1.0,0,151.89999999999998,"Empresa (Ollauri, La Rioja) -> Cenicero: 18.7 min | Cenicero -> Miranda: 42.1 min | Miranda -> Nanclares: 24.7 min | Nanclares -> Salinas: 22.6 min | Salinas -> Empresa (Ollauri, La Rioja): 43.8 min",5.0,7.531666666666666,"Empresa (Ollauri, La Rioja) ➔ Cenicero ➔ Miranda ➔ Nanclares ➔ Salinas ➔ Empresa (Ollauri, La Rioja)"
